dataset,fold,variant,variant_label,epoch_global,stage,stage_boundary_marker,train_total_loss,train_pred_loss,val_loss,val_acc,val_f1,primary_selected,comp_selected,mask_overlap,rule_count,seed,n_train,n_val,n_features,n_outputs,task_kind,elapsed_seconds
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,64,Stage2 soft,,0.0011515429010614752,0.0008912155528863271,0.07886114490528902,0.975,0.9748743718592965,2396.0,730.0,0.0,18.0,42001,4800,1200,5000,1,binary,61.65178691782057
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,65,Stage2 soft,,0.0011504471922914187,0.0008901025680825114,0.07877354209621747,0.975,0.9749163879598662,2396.0,670.0,0.0,18.0,42001,4800,1200,5000,1,binary,63.272668280638754
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,66,Stage2 soft,,0.0011506393846745292,0.0008903054427355527,0.07976360643903414,0.9733333333333334,0.9732441471571907,2396.0,684.0,0.0,18.0,42001,4800,1200,5000,1,binary,64.80645740032196
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,67,Stage2 soft,,0.0011533775956680378,0.0008930343001460036,0.07903307408094407,0.9741666666666666,0.9740585774058578,2396.0,696.0,0.0,18.0,42001,4800,1200,5000,1,binary,66.45265935733914
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,68,Stage2 soft,,0.0011510148706535498,0.0008906797777550916,0.07941904629270236,0.9758333333333333,0.9757322175732217,2396.0,610.0,0.0,18.0,42001,4800,1200,5000,1,binary,67.81014038063586
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,69,Stage2 soft,,0.0011429134678716461,0.0008825749803024034,0.07866420378287634,0.975,0.9748743718592965,2396.0,731.0,0.0,18.0,42001,4800,1200,5000,1,binary,69.29167640209198
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,70,Stage2 soft,,0.0011466838683312137,0.0008863366472845277,0.07862596939007441,0.9741666666666666,0.9740585774058578,2396.0,613.0,0.0,18.0,42001,4800,1200,5000,1,binary,70.71738637704402
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,71,Stage2 soft,,0.001149208340793848,0.0008888715280530354,0.07826851340631644,0.975,0.9749163879598662,2396.0,652.0,0.0,18.0,42001,4800,1200,5000,1,binary,72.2278862092644
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,72,Stage2 soft,,0.0011466645946105322,0.0008863244950771332,0.07913917074600856,0.9741666666666666,0.9740585774058578,2396.0,658.0,0.0,18.0,42001,4800,1200,5000,1,binary,73.77056527417153
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,73,Stage2 soft,,0.001141946657250325,0.0008816001502176126,0.07850633251170318,0.975,0.9749163879598662,2396.0,631.0,0.0,18.0,42001,4800,1200,5000,1,binary,75.29538372438401
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,74,Stage2 soft,,0.0011432759401698907,0.0008829355884032945,0.07864506810903549,0.975,0.9749163879598662,2396.0,612.0,0.0,18.0,42001,4800,1200,5000,1,binary,76.7860604710877
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,75,Stage2 soft,,0.0011480855786552033,0.0008877463374907772,0.07971468371649583,0.975,0.9748743718592965,2396.0,641.0,0.0,18.0,42001,4800,1200,5000,1,binary,78.31199795566499
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,76,Stage2 soft,,0.0011483718703190486,0.0008880324304724733,0.07790458691616853,0.9741666666666666,0.9740585774058578,2396.0,621.0,0.0,18.0,42001,4800,1200,5000,1,binary,79.61622158344835
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,77,Stage2 soft,,0.0011485181469470262,0.000888174941452841,0.07894760536650816,0.9758333333333333,0.9757322175732217,2396.0,634.0,0.0,18.0,42001,4800,1200,5000,1,binary,81.20167342666537
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,78,Stage2 soft,,0.0011443595417464773,0.0008840206040379902,0.07864274017512798,0.975,0.9748743718592965,2396.0,643.0,0.0,18.0,42001,4800,1200,5000,1,binary,82.77144215721637
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,79,Stage2 soft,,0.0011495524396499,0.0008892117285480102,0.07906542673707008,0.9741666666666666,0.9740585774058578,2396.0,602.0,0.0,18.0,42001,4800,1200,5000,1,binary,84.33154839929193
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,80,Stage2 soft,,0.001144024961007138,0.0008836846061361333,0.0797476859887441,0.9758333333333333,0.9757727652464494,2396.0,722.0,0.0,18.0,42001,4800,1200,5000,1,binary,85.98257110919803
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,81,Complementary hard,Complementary hard,0.0010739370745917161,0.0010739370745917161,0.08179487029711406,0.9741666666666666,0.9741019214703425,2396.0,722.0,0.0,18.0,42001,4800,1200,5000,1,binary,87.3635596819222
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,82,Complementary hard,,0.0009503355932732423,0.0009503355932732423,0.0805576824148496,0.9725,0.9723849372384937,2396.0,722.0,0.0,18.0,42001,4800,1200,5000,1,binary,88.82888932712376
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,83,Complementary hard,,0.0008961957103262345,0.0008961957103262345,0.0785391433040301,0.9741666666666666,0.9740585774058578,2396.0,722.0,0.0,18.0,42001,4800,1200,5000,1,binary,90.38989477418363
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,84,Complementary hard,,0.0008793155088399848,0.0008793155088399848,0.0795873639980952,0.9741666666666666,0.9740585774058578,2396.0,722.0,0.0,18.0,42001,4800,1200,5000,1,binary,91.94169553462416
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,85,Complementary hard,,0.0008679609349928796,0.0008679609349928796,0.08051367449263731,0.975,0.9749163879598662,2396.0,722.0,0.0,18.0,42001,4800,1200,5000,1,binary,93.36103880032897
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,86,Complementary hard,,0.0008712189512637754,0.0008712189512637754,0.08059005024532477,0.9758333333333333,0.9757322175732217,2396.0,722.0,0.0,18.0,42001,4800,1200,5000,1,binary,94.8079761620611
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,87,Complementary hard,,0.0008655768500951429,0.0008655768500951429,0.08010352648794651,0.975,0.9749163879598662,2396.0,722.0,0.0,18.0,42001,4800,1200,5000,1,binary,96.12621336709708
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,88,Complementary hard,,0.0008579245551178853,0.0008579245551178853,0.07982387733956178,0.975,0.9749163879598662,2396.0,722.0,0.0,18.0,42001,4800,1200,5000,1,binary,97.5551124336198
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,89,Complementary hard,,0.0008671435946598649,0.0008671435946598649,0.07931626439094544,0.975,0.9749163879598662,2396.0,722.0,0.0,18.0,42001,4800,1200,5000,1,binary,98.98984446469694
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,90,Complementary hard,,0.0008639960130676627,0.0008639960130676627,0.07956823714077473,0.9733333333333334,0.9732441471571907,2396.0,722.0,0.0,18.0,42001,4800,1200,5000,1,binary,100.42186354473233
Gisette,1,joint_no_freeze,"Joint no-freeze, same total epoch budget",1,Joint no-freeze,Joint no-freeze start,0.33993637839953106,0.3347167642911275,0.16613386273384095,0.9483333333333334,0.9482470784641068,2220.0,1326.0,0.0,18.0,42001,4800,1200,5000,1,binary,1.567901497706771
Gisette,1,joint_no_freeze,"Joint no-freeze, same total epoch budget",2,Joint no-freeze,,0.07846947421630224,0.07319414481520653,0.14102428565422695,0.9666666666666667,0.9662731871838112,2209.0,1076.0,0.0,18.0,42001,4800,1200,5000,1,binary,3.1421525785699487
Gisette,1,joint_no_freeze,"Joint no-freeze, same total epoch budget",3,Joint no-freeze,,0.03976025645931562,0.034481559942166014,0.15155804266532263,0.9675,0.9671440606571188,2259.0,986.0,0.0,18.0,42001,4800,1200,5000,1,binary,4.589014780707657
Gisette,1,joint_no_freeze,"Joint no-freeze, same total epoch budget",4,Joint no-freeze,,0.021115496531128885,0.015830953245361646,0.16578856925169627,0.9641666666666666,0.9637742207245156,2217.0,1120.0,0.0,18.0,42001,4800,1200,5000,1,binary,6.073515908792615
Gisette,1,joint_no_freeze,"Joint no-freeze, same total epoch budget",5,Joint no-freeze,,0.014385881572961808,0.009094732912878196,0.1736097377538681,0.96,0.9596638655462185,2281.0,1092.0,0.0,18.0,42001,4800,1200,5000,1,binary,7.6274316143244505
Gisette,1,joint_no_freeze,"Joint no-freeze, same total epoch budget",6,Joint no-freeze,,0.011287849967678388,0.005993950615326564,0.16816722671190898,0.9591666666666666,0.9589270746018441,2312.0,1239.0,0.0,18.0,42001,4800,1200,5000,1,binary,9.210912029258907
Gisette,1,joint_no_freeze,"Joint no-freeze, same total epoch budget",7,Joint no-freeze,,0.00994575430949529,0.004649538093556961,0.16878383457660676,0.9608333333333333,0.9608659450457951,2377.0,1139.0,0.0,18.0,42001,4800,1200,5000,1,binary,10.743940413929522
Gisette,1,joint_no_freeze,"Joint no-freeze, same total epoch budget",8,Joint no-freeze,,0.009387161321938038,0.004093641232078274,0.16215985735257465,0.9666666666666667,0.9666110183639399,2442.0,1133.0,0.0,18.0,42001,4800,1200,5000,1,binary,12.382759244181216
Gisette,1,joint_no_freeze,"Joint no-freeze, same total epoch budget",9,Joint no-freeze,,0.009107355276743572,0.0038154217104117076,0.15200872749090194,0.9616666666666667,0.9616026711185309,2454.0,1106.0,0.0,18.0,42001,4800,1200,5000,1,binary,14.017698804847896
Gisette,1,joint_no_freeze,"Joint no-freeze, same total epoch budget",10,Joint no-freeze,,0.008799191067616145,0.0035082625690847635,0.16978793780008952,0.9625,0.9625935162094763,2454.0,1098.0,0.0,18.0,42001,4800,1200,5000,1,binary,15.500348043628037
Gisette,1,joint_no_freeze,"Joint no-freeze, same total epoch budget",11,Joint no-freeze,,0.008676671795547009,0.0033851257370164,0.17182544176777204,0.9633333333333334,0.9635157545605307,2428.0,1116.0,0.0,18.0,42001,4800,1200,5000,1,binary,17.127301199361682
