dataset,fold,tau,n_eval,input_dim,task_kind,payload_path,lambda_base_s1,lambda_resid_s2,base_selected,residual_self_selected,residual_effective_selected,full_selected,primary_complementary_overlap,primary_residual_self_overlap,base_acc,base_f1,residual_acc,residual_f1,full_acc,full_f1
Spambase,3,0.5,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_03/gh_anfis.pt,0.001,0.001,24,47,23,47,0,24,0.9282608695652174,0.9115281501340483,0.7619565217391304,0.6866952789699571,0.9347826086956522,0.9182561307901907
Spambase,3,0.6,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_03/gh_anfis.pt,0.001,0.001,22,8,8,30,0,0,0.9260869565217391,0.9093333333333333,0.7336956521739131,0.648493543758967,0.9304347826086956,0.9135135135135135
Spambase,3,0.7,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_03/gh_anfis.pt,0.001,0.001,19,0,0,19,0,0,0.9119565217391304,0.884450784593438,0.6054347826086957,0.0,0.9054347826086957,0.872992700729927
Spambase,4,0.3,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_04/gh_anfis.pt,0.001,0.001,41,57,16,57,0,41,0.9206521739130434,0.9025367156208278,0.44565217391304346,0.4358407079646018,0.9260869565217391,0.9090909090909091
Spambase,4,0.4,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_04/gh_anfis.pt,0.001,0.001,35,57,22,57,0,35,0.9347826086956522,0.9184782608695652,0.6391304347826087,0.518840579710145,0.9358695652173913,0.9192886456908345
Spambase,4,0.5,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_04/gh_anfis.pt,0.001,0.001,29,50,21,50,0,29,0.9326086956521739,0.9134078212290503,0.6858695652173913,0.5692995529061102,0.9391304347826087,0.9211267605633803
Spambase,4,0.6,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_04/gh_anfis.pt,0.001,0.001,25,4,4,29,0,0,0.925,0.9050894085281981,0.675,0.4763572679509632,0.9260869565217391,0.9055555555555556
Spambase,4,0.7,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_04/gh_anfis.pt,0.001,0.001,20,0,0,20,0,0,0.8576086956521739,0.8412121212121212,0.6065217391304348,0.0,0.8641304347826086,0.8458692971639951
Spambase,5,0.3,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_05/gh_anfis.pt,0.001,0.001,39,57,18,57,0,39,0.9184782608695652,0.8962655601659751,0.40108695652173915,0.41816261879619854,0.9195652173913044,0.8977900552486188
Spambase,5,0.4,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_05/gh_anfis.pt,0.001,0.001,34,57,23,57,0,34,0.9239130434782609,0.9025069637883009,0.4934782608695652,0.5105042016806722,0.9184782608695652,0.8959778085991679
Spambase,5,0.5,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_05/gh_anfis.pt,0.001,0.001,26,50,24,50,0,26,0.9271739130434783,0.9046941678520626,0.6043478260869565,0.6060606060606061,0.9282608695652174,0.90625
Spambase,5,0.6,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_05/gh_anfis.pt,0.001,0.001,20,5,5,25,0,0,0.9163043478260869,0.8974700399467377,0.4543478260869565,0.5795644891122278,0.9228260869565217,0.9062087186261559
Spambase,5,0.7,920,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_05/gh_anfis.pt,0.001,0.001,17,0,0,17,0,0,0.8173913043478261,0.8051044083526682,0.3934782608695652,0.5647425897035881,0.8173913043478261,0.8055555555555556
Gisette,1,0.3,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_01/gh_anfis.pt,0.01,0.001,5000,5000,0,5000,0,5000,0.9775,0.9774436090225563,0.5,0.6666666666666666,0.9783333333333334,0.9782971619365609
